Url,Address,ReferenceNumber,Validateddate,Status,Proposal
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/17/21/HH&from=planningSearch,12 Tennyson Road Bognor Regis   PO21 2SB,BR/17/21/HH,26-01-21,Undecided     ,Conversion of roof space to habitable use.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/19/21/HH&from=planningSearch,34 Bassett Road Bognor Regis   PO21 2JH,BR/19/21/HH,01-02-21,Undecided     ,Loft conversion to form new second floor with roof alteration to form gable end and rear dormer projection.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=CM/7/21/DOC&from=planningSearch,Mistletoe Farm Horsemere Green Lane Climping  BN17 5QZ,CM/7/21/DOC,29-01-21,Undecided     ,Approval of details reserved by condition imposed under ref CM/13/19/RES relating to Condition Nos 2- materials & finishes and 3 - Landscape Management Plan.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FG/10/21/HH&from=planningSearch,30 Sea Lane Ferring   BN12 5DY,FG/10/21/HH,29-01-21,Undecided     ,Single storey side and rear extension following demolition of existing garage.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/11/21/PL&from=planningSearch,Anchors Cast 2 Fosters Close Rustington  BN16 2TL,R/11/21/PL,11-02-21,Undecided     ,Variation of Condition No 3 under R/12/19/HH for the variation of side balcony screening.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/11/21/NMA&from=planningSearch,Bonhams Field Main Road Yapton  BN18 0DX,Y/11/21/NMA,26-01-21,Approve     ,"Non-material amendment following grant of Y/63/19/RES to increase the number of M4 (2) 'Category 2: Accessible and Adaptable Dwellings' affecting Plots 42 to 47, involving altered internal layouts and a slight increase in the footprint of the plots by 75mm east-west and 250mm north-south."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/15/21/HH&from=planningSearch,32 Murina Avenue Bognor Regis   PO21 2DA,BR/15/21/HH,25-01-21,Undecided     ,Two storey rear extension and balcony.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/7/21/HH&from=planningSearch,Little Dormers 23 Upper Drive East Preston  BN16 1QN,EP/7/21/HH,27-01-21,Undecided     ,New bay/porch skirt roof to front elevation & single storey front extension to provide additional garaging.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/24/21/PL&from=planningSearch,40 Norfolk Road Littlehampton   BN17 5HE,LU/24/21/PL,25-01-21,Undecided     ,Change of use of ground floor from nursery school to domestic residence to add to upper floors to form a house. This site is in CIL Zone 4 (Zero Rated) as other development.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/27/21/PDH&from=planningSearch,33 Grand Avenue Littlehampton   BN17 7NG,LU/27/21/PDH,26-01-21,Undecided     ,"Notification under extended permitted development rights for a single storey rear extension measuring 4m from beyond the rear wall of the original dwelling house, with maximum height of 3m and eaves height of 2.7m."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/5/21/T&from=planningSearch,Travelodge Arundel Road Fontwell Walberton BN18 0SB,WA/5/21/T,25-01-21,Withdrawn     ,Fell 1 No. Ash tree
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/13/21/HH&from=planningSearch,10 Limmard Way Felpham   PO22 7NH,FP/13/21/HH,01-02-21,Undecided     ,Erection of a front porch with pitched roof.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/24/21/T&from=planningSearch,Southmead Canons Close Aldwick  PO21 4EB,AW/24/21/T,23-01-21,Undecided     ,Fell 1 No. Oak tree.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/13/21/DOC&from=planningSearch,283-285A Chichester Road Bognor Regis  PO21 5AH,BR/13/21/DOC,22-01-21,DOC Approved     ,"Approval of details reserved by condition imposed under ref BR/324/17/PL relating to Condition Nos 3 - surface water drainage, 6 - protect existing public sewer and 7 - foul sewerage disposal."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=EP/5/21/HH&from=planningSearch,Shore House Seafield Road East Preston  BN16 1NA,EP/5/21/HH,28-01-21,Undecided     ,Detached garage extension with new pitched roof to create first floor self contained annexe & detached office outbuilding.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/14/21/HH&from=planningSearch,2 Leverton Avenue Felpham   PO22 7RA,FP/14/21/HH,29-01-21,Undecided     ,Removal of existing storage sheds and construction of a self contained annexe. This application is CIL liable as self contained annexe in CIL Zone 4.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/25/21/PDH&from=planningSearch,65 Stanley Road Littlehampton   BN17 6JF,LU/25/21/PDH,25-01-21,Undecided     ,"Notification under extended permitted development rights for a single storey rear extension measuring 4m from beyond the rear wall of the original dwelling house, with maximum height of 2.95m and eaves height of 2.55m"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/26/21/CLP&from=planningSearch,7 Foxglove Way Littlehampton   BN17 6UN,LU/26/21/CLP,02-02-21,Undecided     ,Lawful development certificate for the Proposed installation of 9 Trina 325W black mono (small 1690 x 996) solar panels in one string on rear of property.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/10/21/HH&from=planningSearch,4 Canterbury Close Pagham   PO21 3QX,P/10/21/HH,08-02-21,Undecided     ,Replacement garden structure to provide a hobbies/fitness room
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/10/21/DOC&from=planningSearch,16 East Bank North End Road Yapton  BN18 0DJ,Y/10/21/DOC,25-01-21,DOC Approved     ,Approval of details reserved by condition imposed under ref Y/129/20/HH relating to Condition No 3 - vehicular access.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/9/21/DOC&from=planningSearch,Land to the south of Ford Lane and East of North End Road Yapton  BN18 0DS,Y/9/21/DOC,25-01-21,Undecided     ,Approval of details reserved by condition imposed under ref Y/82/20/RES relating to Condition Nos 5 - non-dig surfacing method and 8 - electric vehicle charging strategy.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/4/21/HH&from=planningSearch,Magnolia Cottage Fontwell Avenue Eastergate  PO20 3RZ,BN/4/21/HH,09-02-21,Undecided     ,Proposed two storey rear extension
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/12/21/DOC&from=planningSearch,41-47 Pevensey Road Bognor Regis  PO21 5NY,BR/12/21/DOC,22-01-21,Undecided     ,Approval of details reserved by condition imposed under ref APP/C3810/W/19/3230749 (BR/229/17/PL) relating to Condition Nos 5 - surface water drainage and 6 - discharge flows to watercourses.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/16/21/PL&from=planningSearch,St Marys Roman Catholic School Glamis Street Bognor Regis  PO21 1DJ,BR/16/21/PL,29-01-21,Undecided     ,"Erection of trim trail items, concrete games area, a MUGA (Multi Use games Area) with an artificial grass pitch, Daily Mile Track and Clamber Stack. This site is in CIL Zone 4 (Zero Rated) as other development."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FG/8/21/T&from=planningSearch,166 Littlehampton Road Ferring   BN12 6PH,FG/8/21/T,26-01-21,Undecided     ,"2 No. Hornbeam (T1 & T3) - Crown lift lower canopy to approximately 3m on 166 Littlehampton Rd boundary, not exceeding diameter of 100mm.
1 No. Ash tree (T2) - Reduce back lateral spread on 166 Littlehampton Rd boundary, not exceeding diameter of 100mm."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/4/21/CLE&from=planningSearch,The Old Apple Store The Street Walberton  BN18 0PJ,WA/4/21/CLE,26-01-21,Undecided     ,Application for a lawful development certificate following grant of planning permission WA/38/17/PL for an existing development -  confirmation that permission has been lawfully commenced.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/19/21/HH&from=planningSearch,223 Manor Way Aldwick   PO21 4HS,AW/19/21/HH,22-01-21,Undecided     ,"Demolition of porch and rear conservatory, erection of front and side two storey and rear single storey extensions, new veranda to front & dormer to existing garage."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/10/21/HH&from=planningSearch,68 Downview Road Felpham   PO22 8JA,FP/10/21/HH,20-01-21,Undecided     ,Single storey front porch extension and first floor extension over existing garage ( Resubmission of FP/196/20/HH)
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/11/21/HH&from=planningSearch,1 Mornington Crescent Felpham   PO22 8HL,FP/11/21/HH,21-01-21,Undecided     ,"Two storey side extension, single storey rear extension, porch to front and addition of 2 x parking spaces."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/12/21/PL&from=planningSearch,Felpham Site 6 Westmorlands Drive Felpham  ,FP/12/21/PL,26-01-21,Undecided     ,"Minor alterations, following FP/239/19/PL, to the emergency access to include replace small section of 1.2m close board fence with 1.2m post & rail fence, addition of guard railings adjacent to northern gate, gate colour to be amended from grey to yellow & addition of 4 No. car parking spaces, to total 32 No. parking spaces,to serve the Community Centre building in lieu of the spaces in the layby."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=WA/3/21/HH&from=planningSearch,Ashogle Eastergate Lane Walberton  BN18 0BA,WA/3/21/HH,22-01-21,Undecided     ,Single-storey rear extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/18/21/T&from=planningSearch,Collingwood 10 Colts Bay Aldwick  PO21 4EH,AW/18/21/T,26-01-21,Undecided     ,Crown reduction of 1 No. Oak tree (T1) to height 5m and spread 4m.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/7/21/PL&from=planningSearch,377-379 Chichester Road Bersted   PO21 5AT,BE/7/21/PL,02-02-21,Undecided     ,"Demolition of outbuilding & change of use of redundant shop to 3 No. two bedroom flats, associated parking & gardens. This site is in CIL Zone 4 (Zero Rated) & may affect the setting of a listed building."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/23/21/DOC&from=planningSearch,46a and 47 Pier Road and Land North of Clifton Road Littlehampton  ,LU/23/21/DOC,02-02-21,DOC Refused     ,Approval of details reserved by condition imposed under LU/287/17/PL relating to Condition Nos 7 - divert public sewer and 8 - foul & surface water sewerage disposal.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/4/21/T&from=planningSearch,15 Phoenix House East Avenue Middleton  PO22 6EG,M/4/21/T,22-01-21,Undecided     ,Fell 1 No. Pine Tree (T23) and replace with 1 No. heavy standard Pine Tree in adjacent location.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/9/21/HH&from=planningSearch,9 Kings Drive Pagham   PO21 4PY,P/9/21/HH,08-02-21,Undecided     ,Single storey rear extension with flat roof together with alterations to existing bay windows to the front of the property.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/8/21/HH&from=planningSearch,34 Frobisher Way Rustington   BN16 2BB,R/8/21/HH,28-01-21,Undecided     ,Single storey rear extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/6/21/DOC&from=planningSearch,Forge Cottage Church Road Yapton  BN18 0ER,Y/6/21/DOC,25-01-21,DOC Approved     ,Approval of details reserved by condition imposed under Y/120/20/PL relating to condition 3-surface water drainage.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/16/21/HH&from=planningSearch,7 St Peters Close Aldwick   PO21 5QA,AW/16/21/HH,18-01-21,Undecided     ,Two storey side extension and rear single storey extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/9/21/HH&from=planningSearch,11 Bedford Avenue Bognor Regis   PO21 5AW,BE/9/21/HH,10-02-21,Undecided     ,Single storey rear extension
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BN/3/21/PL&from=planningSearch,St Philip Howard School Elm Grove South Barnham  PO22 0EN,BN/3/21/PL,20-01-21,Undecided     ,"Installation of an aluminium framed, glazed canopy to a courtyard to increase dining room space for pupil dining at the school. This site is in CIL Zone 2 (Zero Rated) as other development."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FG/7/21/HH&from=planningSearch,24 Oval Waye Ferring   BN12 5RA,FG/7/21/HH,25-01-21,Undecided     ,"Hip to gable roof extension, front and rear extension including front porch and first floor extension with two gabled balconies and garage conversion."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/7/21/HH&from=planningSearch,64 Downview Road Felpham   PO22 8JA,FP/7/21/HH,05-02-21,Undecided     ,Rear extension with a front porch and garage conversion with gable fronted extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/8/21/PDH&from=planningSearch,34 Ley Road Felpham   PO22 7HU,FP/8/21/PDH,19-01-21,Prior Approv not req     ,"Notification under extended permitted development rights for a rear single storey extension with a tiled pitched roof measuring 5.3m from beyond the rear wall of the original dwelling house, with maximum height of 4m and eaves height of 2.3m"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/15/21/PL&from=planningSearch,Unit 6a Arndale Road Littlehampton  BN17 7HD,LU/15/21/PL,20-01-21,Undecided     ,"External alterations to include 2 No. fire security doors to replace existing access doors on front & rear elevations, high level vents to the rear elevation, proposed mirror film & protection bars on existing windows. This site is in CIL Zone 4 (Zero Rated) as other development."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/19/21/PDH&from=planningSearch,18 Eagles Chase Littlehampton   BN177RF,LU/19/21/PDH,20-01-21,No Objection     ,"Notification under extended permitted development rights for a single storey flat roof extension measuring 4m from beyond the rear wall of the original dwelling house, with maximum height of 3.50m and eaves height of 3m."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=R/7/21/HH&from=planningSearch,Waverley House Waverley Road Rustington  BN16 2DX,R/7/21/HH,18-01-21,Undecided     ,First floor front extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=Y/7/21/HH&from=planningSearch,14 East Bank North End Road Yapton  BN18 0DJ,Y/7/21/HH,26-01-21,Undecided     ,New vehicular access.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=CM/5/21/HH&from=planningSearch,Windrush Yapton Road Climping  BN17 5RU,CM/5/21/HH,20-01-21,Undecided     ,Attached garage.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=LU/18/21/PDH&from=planningSearch,62 The Haven Littlehampton   BN17 6NU,LU/18/21/PDH,18-01-21,Prior Approv not req     ,"Notification under extended permitted development rights for a single storey rear Edwardian Conservatory with fully glazed roof measuring 4m from beyond the rear wall of the original dwelling house, with maximum height of 2.98m and eaves height of 2.14m"
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/15/21/HH&from=planningSearch,9 Shorecroft Aldwick   PO21 4AS,AW/15/21/HH,20-01-21,Undecided     ,"Front porch enlarged, addition of a first floor over garage. single storey rear extension and balcony above, first floor side extension & two storey side extension."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AW/17/21/TC&from=planningSearch,30 The Drive Bognor Regis   PO21 4DJ,AW/17/21/TC,22-01-21,Undecided     ,Crown reduction of 1 No. Holm Oak (T1) to 7m high and 5m lateral spread to old pruning points.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BE/8/21/CLE&from=planningSearch,The Royal Oak Public House Chichester Road Bognor Regis  P021 5JF,BE/8/21/CLE,20-01-21,Withdrawn     ,Lawful development certificate for the existing dwarf perimeter fence & gates.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/10/21/DOC&from=planningSearch,12 Tennyson Road Bognor Regis   PO21 2SB,BR/10/21/DOC,18-01-21,DOC Approved     ,"Approval of details reserved by condition imposed under ref BR/257/17/PL relating to Condition Nos 3 - materials & finishes, 6 - cycle parking and 8 - recycling & refuse enclosure."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=BR/8/21/RES&from=planningSearch,Richmond Arms 224 London Road Bognor Regis  PO21 1AU,BR/8/21/RES,02-02-21,Undecided     ,Approval of reserved matters following BR/142/18/OUT for the demolition & conversion of existing public house with residential accomodation to 1st floor to form 10 No. residential flats over 3.5 storeys.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/6/21/HH&from=planningSearch,57 Downview Road Felpham   PO22 8HH,FP/6/21/HH,15-01-21,Undecided     ,Installation of a rear balcony.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=M/2/21/HH&from=planningSearch,45 Southdean Close Middleton-On-Sea   PO22 7TH,M/2/21/HH,21-01-21,Undecided     ,"Two storey front extension, first floor side extension, single storey side extension, two storey side extension, conversion of roofspace to habitable use with rear dormer and installation of 4 x balconies."
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=P/8/21/HH&from=planningSearch,111 Harbour View Road Pagham   PO21 4RJ,P/8/21/HH,03-02-21,Undecided     ,Rear single storey extension and conversion of first floor loft space with rear facing dormer extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=A/10/21/HH&from=planningSearch,1 Alexander Avenue Angmering   BN16 4PQ,A/10/21/HH,19-01-21,Undecided     ,Infill covered parking area to create additional ground floor accommodation.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=FP/5/21/HH&from=planningSearch,33 Summerhill Drive Felpham   PO22 6AS,FP/5/21/HH,19-01-21,Undecided     ,Removal of existing conservatory and erection of single storey rear extension.
https://www1.arun.gov.uk/aplanning/OcellaWeb/planningDetails?reference=AB/3/21/PD&from=planningSearch,Riverside House 2 Fitzalan Road Arundel  BN18 9JS,AB/3/21/PD,25-01-21,Undecided     ,Notification for Prior Approval under Schedule 2 Part 1 Class AA for erection of one and two additional storeys on existing dwellinghouse.
